罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,大磯,生沢,143413,神奈川県,大磯町,生沢,2020-02-04,17,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,小田原,湯本,143821,神奈川県,箱根町,畑宿,2020-01-10,08,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,小田原,田島,142069,神奈川県,小田原市,田島,2020-03-13,17,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,松田,狩野,142174,神奈川県,南足柄市,狩野,2020-04-06,22,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,松田,井ノ口,143618,神奈川県,中井町,井ノ口,2020-03-17,16,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,秦野,秦野駅前,142115,神奈川県,秦野市,今泉,2020-09-02,18,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,秦野,桜町,142115,神奈川県,秦野市,平沢,2020-03-29,15,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,伊勢原,大田,142140,神奈川県,伊勢原市,小稲葉,2020-10-04,10,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,伊勢原,大田,142140,神奈川県,伊勢原市,下谷,2020-10-04,05,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,本厚木駅前,142123,神奈川県,厚木市,栄町２丁目,2020-01-25,18,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,工業団地,142123,神奈川県,厚木市,下川入,2020-12-03,11,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,酒井,142123,神奈川県,厚木市,岡田,2020-08-28,19,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,酒井,142123,神奈川県,厚木市,戸田,2020-05-17,19,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,厚木,下荻野,142123,神奈川県,厚木市,中荻野,2020-01-20,10,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2020-07-30,21,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2020-08-01,14,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2020-09-16,20,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2020-01-07,07,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2020-11-24,13,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,津久井,城山,141518,神奈川県,相模原市緑区,三ケ木,2019-10-01,00,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台４丁目,2020-03-31,22,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,座間,ひばりが丘,142166,神奈川県,座間市,ひばりが丘４丁目,2020-08-31,15,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,海老名,国分寺台,142158,神奈川県,海老名市,杉久保北３丁目,2020-04-26,11,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,海老名,さがみ野駅前,142158,神奈川県,海老名市,東柏ケ谷２丁目,2020-11-01,15,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,海老名,さがみ野駅前,142158,神奈川県,海老名市,東柏ケ谷２丁目,2020-11-02,17,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本２丁目,2020-05-13,20,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2020-07-24,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2020-08-04,17,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,永田,141054,神奈川県,横浜市南区,永田東３丁目,2020-02-27,17,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,南,永田,141054,神奈川県,横浜市南区,永田東３丁目,2020-02-27,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,別所町,141054,神奈川県,横浜市南区,別所４丁目,2020-08-31,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,通町,141054,神奈川県,横浜市南区,中島町１丁目,2020-03-01,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,,142123,神奈川県,厚木市,山際,2020-09-20,20,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,相模大塚駅前,142182,神奈川県,綾瀬市,大上９丁目,2020-02-24,13,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,大和,相模大塚駅前,142182,神奈川県,綾瀬市,蓼川１丁目,2020-01-25,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2020-01-09,16,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,小園,2020-07-22,20,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中４丁目,2019-12-20,01,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中９丁目,2020-11-28,12,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2020-08-25,21,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川城山４丁目,2020-06-03,22,一戸建住宅,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,泉,下和泉,141160,神奈川県,横浜市泉区,和泉町,2020-07-22,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2020-11-04,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2020-05-04,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2020-05-13,18,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸５丁目,2020-07-24,08,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2020-05-10,13,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2020-03-15,16,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,旭,市沢,141127,神奈川県,横浜市旭区,市沢町,2020-10-13,15,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,旭,左近山,141127,神奈川県,横浜市旭区,左近山,2020-05-04,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,加賀町,本町,141046,神奈川県,横浜市中区,北仲通６丁目,2020-11-30,16,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,加賀町,尾上町,141046,神奈川県,横浜市中区,住吉町３丁目,2020-03-01,03,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,山手,本牧ふ頭,141046,神奈川県,横浜市中区,錦町,2020-04-20,19,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,金沢,洲崎,141089,神奈川県,横浜市金沢区,町屋町,2020-09-12,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町２丁目,2020-12-10,18,道路上,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,末広町３丁目,2020-06-01,15,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町９丁目,2020-12-22,21,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,戸部,一本松,141038,神奈川県,横浜市西区,霞ケ丘,2020-09-29,14,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾１丁目,2020-08-08,00,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神奈川,浦島丘,141020,神奈川県,横浜市神奈川区,七島町,2020-01-29,17,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋１丁目,2020-07-09,13,道路上,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,鶴屋町２丁目,2020-12-04,16,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,2020-07-26,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,大黒ふ頭,2020-08-11,11,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,生麦４丁目,2020-10-08,20,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,鶴見,矢向,141011,神奈川県,横浜市鶴見区,矢向２丁目,2020-07-19,14,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,保土ケ谷,西谷,141062,神奈川県,横浜市保土ケ谷区,東川島町,2020-07-26,19,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,上菅田町,2020-02-29,06,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港南,上大岡駅前,141119,神奈川県,横浜市港南区,上大岡東１丁目,2020-09-23,16,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,関の下,141119,神奈川県,横浜市港南区,上大岡西３丁目,2020-02-05,07,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港南,芹が谷,141119,神奈川県,横浜市港南区,芹が谷１丁目,2020-05-22,08,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,芹が谷,141119,神奈川県,横浜市港南区,東芹が谷,2020-06-24,14,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,上永谷駅前,141119,神奈川県,横浜市港南区,上永谷２丁目,2020-06-20,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,上永谷駅前,141119,神奈川県,横浜市港南区,丸山台３丁目,2019-09-30,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田６丁目,2020-03-12,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,緑,鴨居駅前,141135,神奈川県,横浜市緑区,東本郷６丁目,2020-09-20,01,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,緑,中山駅前,141135,神奈川県,横浜市緑区,上山１丁目,2020-08-31,09,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,横浜水上,山下ふ頭,141046,神奈川県,横浜市中区,山下町,2020-06-09,20,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,港北,菊名駅前,141097,神奈川県,横浜市港北区,大豆戸町,2020-10-20,07,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,樽町,141097,神奈川県,横浜市港北区,樽町２丁目,2020-03-02,14,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2020-07-29,04,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,吉田口,141097,神奈川県,横浜市港北区,綱島西４丁目,2020-04-16,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,小机,141097,神奈川県,横浜市港北区,小机町,2020-09-22,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜２丁目,2020-08-07,15,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,高田,141097,神奈川県,横浜市港北区,高田町,2020-09-03,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,南台１丁目,2020-12-05,18,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,瀬谷町,2020-10-12,16,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,栄,元大橋,141151,神奈川県,横浜市栄区,上郷町,2020-05-23,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,栄,豊田,141151,神奈川県,横浜市栄区,田谷町,2020-07-31,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,梅が丘,2020-05-31,08,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,都筑,折本町,141186,神奈川県,横浜市都筑区,折本町,2020-05-05,15,その他,駐車（輪）場,キーなし,あり,特殊自動車
窃盗,自動車盗,都筑,折本町,141186,神奈川県,横浜市都筑区,折本町,2020-05-05,15,その他,駐車（輪）場,キーなし,あり,特殊自動車
窃盗,自動車盗,都筑,折本町,141186,神奈川県,横浜市都筑区,東方町,2020-03-27,16,駐車（輪）場,駐車（輪）場,キーなし,なし,特殊自動車
窃盗,自動車盗,都筑,折本町,141186,神奈川県,横浜市都筑区,東方町,2020-08-08,09,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,茅ケ崎東３丁目,2020-10-26,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,勝田町,2020-09-09,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,南山田町,2020-06-02,17,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,麻生,新百合ヶ丘駅前,141372,神奈川県,川崎市麻生区,古沢,2020-03-24,02,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,麻生,王禅寺,141372,神奈川県,川崎市麻生区,白山４丁目,2020-08-16,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,川崎,京町通,141313,神奈川県,川崎市川崎区,池田２丁目,2020-08-05,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2020-06-02,16,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,川中島２丁目,2020-02-05,18,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浜町４丁目,2020-12-23,13,駐車（輪）場,駐車（輪）場,キーなし,あり,特殊自動車
窃盗,自動車盗,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,台町,2020-09-05,15,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,高津,末長,141348,神奈川県,川崎市高津区,梶ケ谷２丁目,2020-10-24,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,高津,末長,141348,神奈川県,川崎市高津区,新作４丁目,2020-11-22,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,高津,末長,141348,神奈川県,川崎市高津区,末長１丁目,2020-10-21,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,高津,二子新地駅前,141348,神奈川県,川崎市高津区,溝口３丁目,2020-02-25,09,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,登戸,2020-07-07,10,道路上,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,幸,古市場,141321,神奈川県,川崎市幸区,東古市場,2020-12-23,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,幸,南加瀬,141321,神奈川県,川崎市幸区,南加瀬５丁目,2020-05-17,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,宮前,,,,,,2020-06-30,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,横須賀,武山,142018,神奈川県,横須賀市,太田和２丁目,2020-01-23,08,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,横須賀,武山,142018,神奈川県,横須賀市,荻野,2020-08-31,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,横須賀,衣笠駅前,142018,神奈川県,横須賀市,平作４丁目,2020-02-28,13,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,横須賀,森崎町,142018,神奈川県,横須賀市,大矢部２丁目,2020-12-28,23,駐車（輪）場,駐車（輪）場,キーなし,あり,貨物自動車
窃盗,自動車盗,横須賀,森崎町,142018,神奈川県,横須賀市,森崎１丁目,2020-04-17,21,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,横須賀,森崎町,142018,神奈川県,横須賀市,森崎２丁目,2020-09-06,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,藤沢北,長後駅前,142051,神奈川県,藤沢市,高倉,2020-12-21,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,藤沢北,湘南ライフタウン,142051,神奈川県,藤沢市,大庭,2020-02-27,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,藤沢北,石川,142051,神奈川県,藤沢市,石川１丁目,2020-09-15,20,その他,駐車（輪）場,キーなし,あり,乗用自動車
