罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2018-05-24,20,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田３丁目,2018-06-08,19,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2018-03-22,08,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,川崎,南町,141313,神奈川県,川崎市川崎区,新川通,2018-12-27,20,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町３丁目,2018-11-18,13,その他,キーあり,あり,特殊自動車
窃盗,自動車盗,高津,北見方,141348,神奈川県,川崎市高津区,溝口３丁目,2018-01-14,07,４階建て以上共同住宅,キーあり,なし,貨物自動車
窃盗,自動車盗,高津,千年,141348,神奈川県,川崎市高津区,千年,2018-04-17,03,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,多摩,菅星ヶ丘,141356,神奈川県,川崎市多摩区,菅馬場１丁目,2018-02-12,18,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,幸,川崎駅西口,141321,神奈川県,川崎市幸区,堀川町,2018-03-13,08,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,幸,小向東芝町,141321,神奈川県,川崎市幸区,小向西町３丁目,2018-11-25,06,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,宮前,野川,141364,神奈川県,川崎市宮前区,野川,2017-12-28,21,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,浦賀,走水,142018,神奈川県,横須賀市,走水１丁目,2018-11-28,22,その他,キーあり,あり,貨物自動車
窃盗,自動車盗,藤沢北,湘南台駅西口,142051,神奈川県,藤沢市,湘南台２丁目,2015-03-20,12,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,茅ケ崎,宮山,143219,神奈川県,寒川町,倉見,2018-07-01,17,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,平塚,四之宮,142034,神奈川県,平塚市,四之宮５丁目,2018-09-22,21,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,平塚,豊田,142034,神奈川県,平塚市,東豊田,2018-05-17,17,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,小田原,湯河原,143847,神奈川県,湯河原町,城堀,2018-06-28,08,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,小田原,飯田岡,142069,神奈川県,小田原市,府川,2018-09-26,18,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,小田原,前羽,142069,神奈川県,小田原市,前川,2018-05-01,17,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,小田原,小田原大橋,142069,神奈川県,小田原市,寿町１丁目,2018-02-02,19,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,松田,山北,143642,神奈川県,山北町,山北,2018-01-04,05,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,松田,狩野,142174,神奈川県,南足柄市,狩野,2018-03-04,13,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,乗用自動車
窃盗,自動車盗,松田,吉田島,143669,神奈川県,開成町,吉田島,2018-07-29,18,一戸建住宅,キーあり,あり,乗用自動車
窃盗,自動車盗,松田,大雄山駅前,142174,神奈川県,南足柄市,生駒,2018-05-07,16,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,松田,大雄山駅前,142174,神奈川県,南足柄市,関本,2018-07-12,23,一戸建住宅,キーあり,なし,乗用自動車
窃盗,自動車盗,松田,大雄山駅前,142174,神奈川県,南足柄市,和田河原,2018-08-03,08,一戸建住宅,キーあり,なし,乗用自動車
窃盗,自動車盗,秦野,秦野駅前,142115,神奈川県,秦野市,室町,2018-10-01,19,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,秦野,菩提,142115,神奈川県,秦野市,菩提,2018-10-24,12,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢原,成瀬,142140,神奈川県,伊勢原市,石田,2018-06-14,12,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,伊勢原,成瀬,142140,神奈川県,伊勢原市,高森３丁目,2018-03-24,11,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢原,大田,142140,神奈川県,伊勢原市,小稲葉,2018-09-22,17,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,緑ケ丘,142123,神奈川県,厚木市,恩名２丁目,2018-06-17,15,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,妻田,142123,神奈川県,厚木市,妻田北３丁目,2018-08-11,20,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,酒井,142123,神奈川県,厚木市,戸田,2018-09-12,16,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,依知,142123,神奈川県,厚木市,金田,2018-11-09,18,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,愛甲石田駅前,142123,神奈川県,厚木市,愛甲４丁目,2018-09-27,19,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,南毛利,142123,神奈川県,厚木市,長谷,2018-02-26,22,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,小鮎,142123,神奈川県,厚木市,飯山,2018-09-29,17,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,厚木,三田,142123,神奈川県,厚木市,下川入,2018-06-26,08,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,厚木,上荻野,142123,神奈川県,厚木市,上荻野,2018-08-17,19,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原,星が丘,141526,神奈川県,相模原市中央区,千代田１丁目,2018-05-24,21,駐車（輪）場,キーあり,あり,貨物自動車
窃盗,自動車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2018-12-07,19,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2018-05-21,21,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間１丁目,2018-10-15,03,４階建て以上共同住宅,キーあり,あり,乗用自動車
窃盗,自動車盗,相模原南,大沼,141534,神奈川県,相模原市南区,麻溝台７丁目,2017-12-29,15,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,相模原南,新磯,141534,神奈川県,相模原市南区,磯部,2018-08-02,19,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,座間,相模が丘,142166,神奈川県,座間市,相模が丘４丁目,2018-07-11,15,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,座間,ひばりが丘,142166,神奈川県,座間市,ひばりが丘５丁目,2018-01-04,11,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,海老名,有馬,142158,神奈川県,海老名市,本郷,2018-05-28,18,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,海老名,かしわ台駅前,142158,神奈川県,海老名市,東柏ケ谷２丁目,2018-11-22,01,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,海老名,かしわ台駅前,142158,神奈川県,海老名市,東柏ケ谷３丁目,2018-01-29,20,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2018-01-12,20,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2018-12-25,21,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,吉野町,141054,神奈川県,横浜市南区,吉野町１丁目,2018-01-27,18,４階建て以上共同住宅,キーなし,あり,乗用自動車
窃盗,自動車盗,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2018-10-02,18,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2018-05-21,23,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2018-02-18,14,４階建て以上共同住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2018-03-20,13,一戸建住宅,キーなし,なし,なし
窃盗,自動車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2018-09-18,00,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,下草柳,2018-06-03,10,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,草柳３丁目,2018-07-25,20,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2018-08-17,18,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2018-09-13,23,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳４丁目,2018-08-27,21,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2018-07-18,21,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2018-10-26,10,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2018-11-07,17,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2018-07-27,02,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-04-04,20,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-09-06,08,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田４丁目,2018-11-24,17,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田５丁目,2018-04-05,19,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,貨物自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,下和田,2018-05-13,12,道路上,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,下和田,2018-05-13,17,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,代官２丁目,2018-09-08,21,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,落合北３丁目,2018-11-27,11,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中８丁目,2018-05-12,22,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央南４丁目,2018-11-02,19,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-07-20,21,その他,キーなし,なし,なし
窃盗,自動車盗,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-09-04,15,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,西が岡１丁目,2018-01-27,20,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2018-07-05,20,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,上矢部町,2018-03-23,21,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2018-05-10,21,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2018-05-23,20,その他の住宅（３階建て以下共同住宅等）,キーなし,あり,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2018-08-27,20,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2018-10-25,16,４階建て以上共同住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2018-07-04,17,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2018-07-18,14,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2018-07-20,00,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,西川島町,2018-12-17,17,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2018-03-28,20,駐車（輪）場,キーなし,あり,貨物自動車
窃盗,自動車盗,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2018-09-24,19,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,旭,白根,141127,神奈川県,横浜市旭区,白根６丁目,2018-05-09,21,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,川井本町,2018-02-12,21,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根町,2018-08-19,12,４階建て以上共同住宅,キーなし,なし,貨物自動車
窃盗,自動車盗,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根町,2018-09-27,12,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,旭,ひかりが丘,141127,神奈川県,横浜市旭区,中白根３丁目,2018-02-06,16,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,山手,本牧ふ頭,141046,神奈川県,横浜市中区,錦町,2018-12-21,20,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,磯子,丸山,141071,神奈川県,横浜市磯子区,中浜町,2018-04-01,15,４階建て以上共同住宅,キーなし,あり,乗用自動車
窃盗,自動車盗,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台６丁目,2018-03-31,01,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀２丁目,2018-11-17,21,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,金沢,洲崎,141089,神奈川県,横浜市金沢区,町屋町,2018-03-16,20,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町１丁目,2018-01-05,17,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町１丁目,2018-06-01,22,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,石川町３丁目,2018-09-07,18,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,蓬莱町１丁目,2018-06-21,18,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2018-01-14,11,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,戸部,浅間町,141038,神奈川県,横浜市西区,宮ケ谷,2018-06-28,15,４階建て以上共同住宅,キーなし,なし,貨物自動車
窃盗,自動車盗,神奈川,白幡,141020,神奈川県,横浜市神奈川区,白幡町,2018-09-25,17,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,神大寺４丁目,2018-06-01,21,その他の住宅（３階建て以下共同住宅等）,キーなし,あり,乗用自動車
窃盗,自動車盗,神奈川,反町,141020,神奈川県,横浜市神奈川区,松本町１丁目,2018-03-29,23,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,三枚町,2018-04-15,14,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,2018-05-18,00,４階建て以上共同住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡４丁目,2018-01-28,03,道路上,キーなし,あり,乗用自動車
窃盗,自動車盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,獅子ケ谷３丁目,2018-08-22,17,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,保土ケ谷,保土ケ谷橋,141062,神奈川県,横浜市保土ケ谷区,岩井町,2018-02-21,19,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,上菅田町,2018-05-23,20,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,日野,141119,神奈川県,横浜市港南区,日野中央２丁目,2018-11-11,19,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,南高校前,141119,神奈川県,横浜市港南区,東永谷３丁目,2018-10-03,22,一戸建住宅,キーなし,なし,貨物自動車
窃盗,自動車盗,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2018-05-16,15,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港南,港南台南,141119,神奈川県,横浜市港南区,日野南７丁目,2018-07-05,20,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2018-02-13,19,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,緑,鴨居駅前,141135,神奈川県,横浜市緑区,竹山３丁目,2018-07-28,15,４階建て以上共同住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,緑,中山駅前,141135,神奈川県,横浜市緑区,寺山町,2018-10-05,13,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,港北,菊名駅前,141097,神奈川県,横浜市港北区,菊名５丁目,2018-03-12,20,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,菊名駅前,141097,神奈川県,横浜市港北区,大豆戸町,2018-10-03,10,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,日吉本町,141097,神奈川県,横浜市港北区,日吉本町４丁目,2018-04-16,07,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,日吉本町,141097,神奈川県,横浜市港北区,日吉本町４丁目,2018-07-25,00,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,港北,小机,141097,神奈川県,横浜市港北区,鳥山町,2018-03-26,11,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,大豆戸町,2018-03-24,18,道路上,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,大豆戸町,2018-03-25,22,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,大豆戸町,2018-03-29,06,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-03-26,18,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-03-31,08,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-11-16,19,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新吉田東８丁目,2018-08-15,16,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,北新横浜１丁目,2018-04-06,17,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東３丁目,2018-06-08,18,４階建て以上共同住宅,キーなし,あり,乗用自動車
窃盗,自動車盗,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,二ツ橋町,2018-09-21,12,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,瀬谷３丁目,2018-01-07,23,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,二ツ橋町,2018-12-08,18,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,橋戸２丁目,2018-11-21,19,一戸建住宅,キーなし,なし,乗用自動車
窃盗,自動車盗,瀬谷,阿久和町,141143,神奈川県,横浜市瀬谷区,阿久和東４丁目,2018-10-30,19,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,瀬谷,阿久和町,141143,神奈川県,横浜市瀬谷区,阿久和西４丁目,2018-08-10,19,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,瀬谷,細谷戸,141143,神奈川県,横浜市瀬谷区,相沢６丁目,2018-11-15,20,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷２丁目,2018-01-05,20,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,栄,庄戸,141151,神奈川県,横浜市栄区,,2018-04-13,00,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,栄,豊田,141151,神奈川県,横浜市栄区,本郷台５丁目,2018-11-12,21,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,榎が丘,2018-11-01,14,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野３丁目,2018-01-25,19,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,乗用自動車
窃盗,自動車盗,青葉,鴨志田,141178,神奈川県,横浜市青葉区,鴨志田町,2018-10-12,19,駐車（輪）場,キーなし,なし,貨物自動車
