罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2018-09-22,15,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,新川町１丁目,2018-02-14,13,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,新川町２丁目,2018-03-04,15,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,新川町５丁目,2017-10-29,15,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,高砂町１丁目,2018-04-08,11,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,高根町１丁目,2018-03-06,15,道路上,50歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2018-09-21,16,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,南吉田町１丁目,2018-11-03,20,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,吉野町１丁目,2018-03-30,16,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,久保山,141054,神奈川県,横浜市南区,三春台,2018-08-15,22,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-12-16,06,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2018-03-10,22,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2018-08-05,18,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2018-09-28,17,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田２丁目,2018-11-14,06,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2018-07-31,18,一戸建住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2018-10-31,20,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2018-09-03,20,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2018-10-09,14,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2018-03-30,20,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2018-08-24,16,その他の住宅（３階建て以下共同住宅等）,65-69歳,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2018-09-05,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2018-10-11,09,その他,70歳以上,その他,施錠した
窃盗,自転車盗,南,永田,141054,神奈川県,横浜市南区,永田東３丁目,2017-12-25,20,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-10-06,18,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-10-27,18,一戸建住宅,10歳代,小学生,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-11-13,19,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,中里１丁目,2018-08-31,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2018-08-05,10,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-03-30,15,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2018-07-22,22,一戸建住宅,65-69歳,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2018-10-02,18,４階建て以上共同住宅,10歳未満,小学生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-04-06,06,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-05-03,17,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-07-11,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-11-11,17,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-11-18,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,通町４丁目,2018-07-30,15,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,通町４丁目,2018-10-28,06,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,花之木町１丁目,2018-07-17,19,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2018-05-07,03,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2018-05-25,13,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町４丁目,2018-02-04,00,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町１丁目,2018-07-18,09,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町２丁目,2018-06-19,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2018-12-03,10,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,白妙町２丁目,2018-10-10,05,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町１丁目,2018-09-12,17,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018-01-20,21,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018-05-02,07,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018-07-04,07,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018-07-17,09,その他,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町３丁目,2018-02-05,17,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町２丁目,2018-05-23,20,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,上草柳１丁目,2018-04-14,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,上草柳１丁目,2018-08-31,13,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2018-03-13,05,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2018-06-04,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2018-07-05,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2018-07-06,17,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2018-09-24,18,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2018-10-13,15,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央３丁目,2018-09-15,18,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-02-22,16,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-03-15,05,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-04-03,07,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-04-08,18,４階建て以上共同住宅,10歳代,小学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-07-28,02,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-08-09,18,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-08-27,21,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-11-11,07,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2018-07-23,18,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2018-07-29,20,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央６丁目,2018-07-12,20,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央７丁目,2018-11-12,06,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,西鶴間３丁目,2018-09-03,20,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見台３丁目,2018-06-10,12,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見台３丁目,2018-10-14,18,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,南林間１丁目,2018-08-04,12,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2018-08-30,19,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-04-20,14,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-05-17,14,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-06-29,08,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-08-03,11,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-09-19,20,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-10-07,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-10-12,08,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-11-18,15,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-11-29,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2018-12-14,07,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2018-01-10,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2018-10-02,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2018-11-30,05,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2018-05-03,00,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2018-07-29,13,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2018-10-24,10,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2018-04-21,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2018-07-15,12,その他,70歳以上,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見西１丁目,2018-04-30,14,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2018-03-01,17,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2018-06-26,09,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2018-11-01,21,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森１丁目,2018-12-20,19,一戸建住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2018-05-10,21,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2018-10-07,12,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森３丁目,2017-12-09,12,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森３丁目,2018-01-04,06,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森３丁目,2018-07-24,20,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2018-04-07,20,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2018-06-24,13,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-01-25,15,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-04-30,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-05-07,10,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-06-16,18,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-07-24,14,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-11-17,09,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2018-02-12,11,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2018-06-23,15,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-02-09,21,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-06-06,20,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2018-04-06,05,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2018-10-06,02,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-06-16,18,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-06-30,11,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-08-01,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-09-10,08,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-11-15,11,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-12-04,13,一戸建住宅,70歳以上,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2018-03-14,14,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2018-07-22,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2018-07-21,18,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-03-28,17,一戸建住宅,10歳代,小学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-04-12,21,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-04-14,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-05-03,18,その他の住宅（３階建て以下共同住宅等）,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-07-15,08,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西８丁目,2018-01-16,09,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見東２丁目,2018-09-13,20,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見東３丁目,2018-12-20,17,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,中央林間４丁目,2018-04-09,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-06-07,21,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2018-03-20,21,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2018-05-25,11,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2018-12-02,17,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2018-12-09,09,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間３丁目,2018-05-19,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間５丁目,2018-11-24,20,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2018-05-18,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2018-06-04,18,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2018-08-03,18,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2018-11-05,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間２丁目,2018-01-13,21,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間２丁目,2018-07-26,18,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-02-10,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-04-27,15,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-05-15,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-11-29,09,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2018-03-23,17,その他の住宅（３階建て以下共同住宅等）,10歳未満,小学生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2018-01-11,21,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2018-12-08,13,一戸建住宅,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,下鶴間,2018-04-01,12,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,下鶴間,2018-10-03,17,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,,2018-11-11,12,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2018-09-24,10,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2018-01-12,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2018-03-28,08,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2018-10-04,06,駐車（輪）場,40歳代,その他,施錠した
