罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾南２丁目,2020-09-02,19,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中７丁目,2020-02-01,18,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,中田,141160,神奈川県,横浜市泉区,白百合３丁目,2020-06-03,11,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉２丁目,2020-05-28,14,一戸建住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2020-11-26,18,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-12-04,23,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-01-25,23,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-03-25,07,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-10-13,19,その他,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-12-20,09,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢６丁目,2020-04-03,19,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,影取町,2020-10-01,18,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2020-06-06,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2020-07-30,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2020-06-06,20,一戸建住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿４丁目,2020-05-18,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-03-12,14,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2020-04-25,19,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2020-10-05,07,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2020-05-02,19,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,深谷,141101,神奈川県,横浜市戸塚区,俣野町,2020-05-31,02,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2020-11-04,16,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2020-09-28,20,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-11-22,15,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2020-04-11,20,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2020-01-20,20,駐車（輪）場,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰１丁目,2020-10-02,18,駐車（輪）場,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2020-05-07,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,二俣川１丁目,2020-11-11,09,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,市沢,141127,神奈川県,横浜市旭区,市沢町,2019-12-15,19,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2020-05-15,10,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2020-09-13,11,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根２丁目,2020-01-13,15,４階建て以上共同住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,今宿,141127,神奈川県,横浜市旭区,今宿南町,2020-01-10,20,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,2020-01-31,15,一戸建住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,山手,見晴通,141046,神奈川県,横浜市中区,本郷町２丁目,2020-03-06,18,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,山手,山元町,141046,神奈川県,横浜市中区,山元町２丁目,2020-04-19,12,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,丸山,141071,神奈川県,横浜市磯子区,丸山１丁目,2020-09-01,08,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,森,141071,神奈川県,横浜市磯子区,森６丁目,2020-10-24,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台３丁目,2020-05-01,07,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子３丁目,2020-10-03,07,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,森１丁目,2020-03-14,07,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,富岡,141089,神奈川県,横浜市金沢区,富岡東６丁目,2020-09-01,20,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀１丁目,2020-12-14,18,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,釜利谷東２丁目,2020-08-06,09,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,釜利谷東３丁目,2019-10-01,00,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,能見台駅前,141089,神奈川県,横浜市金沢区,能見台東,2020-01-07,15,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,釜利谷,141089,神奈川県,横浜市金沢区,釜利谷東５丁目,2020-09-12,02,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,伊勢佐木町３丁目,2020-09-14,15,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,伊勢佐木町５丁目,2020-06-05,07,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,長者町７丁目,2020-07-13,02,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,山田町,2020-03-09,18,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,吉浜町,2020-09-10,04,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,2020-05-26,12,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,岡野,141038,神奈川県,横浜市西区,岡野２丁目,2020-06-19,14,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,岡野,141038,神奈川県,横浜市西区,岡野２丁目,2020-10-18,20,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,岡野,141038,神奈川県,横浜市西区,西平沼町,2020-09-23,02,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,神之木,141020,神奈川県,横浜市神奈川区,神之木町,2020-11-07,20,道路上,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,浦島丘,141020,神奈川県,横浜市神奈川区,白幡南町,2020-05-01,17,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,片倉１丁目,2020-06-13,08,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,片倉２丁目,2020-10-26,19,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,片倉５丁目,2020-07-14,20,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,反町,141020,神奈川県,横浜市神奈川区,反町１丁目,2020-05-12,23,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,反町,141020,神奈川県,横浜市神奈川区,松本町４丁目,2020-10-09,13,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,三枚町,2020-03-17,20,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,三枚町,2020-11-26,10,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢南１丁目,2020-11-14,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央２丁目,2020-02-24,02,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,本町通,141011,神奈川県,横浜市鶴見区,本町通４丁目,2020-05-17,21,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,鶴見中央５丁目,2020-03-18,06,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,上末吉１丁目,2020-09-15,21,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,末吉,141011,神奈川県,横浜市鶴見区,下末吉２丁目,2020-02-21,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,鶴見駅西口,141011,神奈川県,横浜市鶴見区,豊岡町,2020-06-16,09,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,岸谷,141011,神奈川県,横浜市鶴見区,東寺尾４丁目,2020-12-03,18,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡１丁目,2020-01-16,22,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場３丁目,2019-10-19,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,帷子町２丁目,2020-09-06,22,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,和田町,141062,神奈川県,横浜市保土ケ谷区,和田１丁目,2020-09-05,19,その他,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,両郡橋,141062,神奈川県,横浜市保土ケ谷区,仏向西,2020-02-09,07,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,西谷,141062,神奈川県,横浜市保土ケ谷区,西谷町,2020-10-16,07,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,2020-11-13,18,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,花見台,141062,神奈川県,横浜市保土ケ谷区,花見台,2020-11-28,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,新井町,2020-01-22,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,川島町,141062,神奈川県,横浜市保土ケ谷区,川島町,2020-10-25,10,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,上大岡駅前,141119,神奈川県,横浜市港南区,最戸１丁目,2020-05-06,12,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,関の下,141119,神奈川県,横浜市港南区,上大岡西３丁目,2020-07-07,12,その他,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,南高校前,141119,神奈川県,横浜市港南区,港南２丁目,2020-04-01,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,野庭,141119,神奈川県,横浜市港南区,日野中央３丁目,2020-06-06,15,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2020-02-20,04,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2020-03-21,00,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2020-07-25,08,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田町,2019-06-27,15,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,緑,鴨居駅前,141135,神奈川県,横浜市緑区,鴨居３丁目,2020-09-19,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,緑,鴨居駅前,141135,神奈川県,横浜市緑区,東本郷３丁目,2020-01-16,13,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,緑,霧が丘,141135,神奈川県,横浜市緑区,霧が丘６丁目,2019-11-01,12,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,緑,中山駅前,141135,神奈川県,横浜市緑区,中山１丁目,2020-12-24,15,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,横浜水上,新港町,141046,神奈川県,横浜市中区,新港２丁目,2020-06-18,11,駐車（輪）場,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,港北,菊名駅前,141097,神奈川県,横浜市港北区,菊名４丁目,2020-11-26,17,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港北,菊名駅前,141097,神奈川県,横浜市港北区,菊名７丁目,2020-09-13,13,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,港北,大倉山,141097,神奈川県,横浜市港北区,師岡町,2015-09-24,14,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港北,大倉山,141097,神奈川県,横浜市港北区,大倉山１丁目,2020-09-10,12,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港北,樽町,141097,神奈川県,横浜市港北区,樽町１丁目,2020-03-08,14,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2020-04-06,07,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2020-05-25,08,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,本郷２丁目,2019-11-27,12,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,瀬谷５丁目,2020-03-19,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,宮沢２丁目,2019-08-13,11,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,瀬谷,阿久和町,141143,神奈川県,横浜市瀬谷区,阿久和東１丁目,2020-02-15,19,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,栄,笠間,141151,神奈川県,横浜市栄区,笠間５丁目,2020-06-27,23,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台１丁目,2020-05-11,16,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,青葉,荏田町,141178,神奈川県,横浜市青葉区,荏田町,2020-07-27,02,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,青葉,荏田町,141178,神奈川県,横浜市青葉区,荏田町,2020-08-09,20,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘４丁目,2020-03-09,21,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,藤が丘１丁目,2020-07-06,15,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,都筑,中川駅前,141186,神奈川県,横浜市都筑区,中川１丁目,2020-05-01,07,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,都筑,仲町台駅前,141186,神奈川県,横浜市都筑区,長坂,2020-11-06,21,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,都筑,仲町台駅前,141186,神奈川県,横浜市都筑区,仲町台１丁目,2020-03-11,14,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,茅ケ崎中央,2020-02-27,10,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,茅ケ崎中央,2020-03-11,09,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,中川中央１丁目,2020-02-04,22,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,中川中央１丁目,2020-06-22,17,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,麻生,柿生,141372,神奈川県,川崎市麻生区,片平２丁目,2020-05-11,12,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,麻生,柿生,141372,神奈川県,川崎市麻生区,上麻生６丁目,2020-11-13,17,その他,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2020-09-12,17,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,東門前３丁目,2020-07-02,16,一戸建住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2020-06-09,16,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,駅前本町,2020-02-02,22,道路上,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,小川町,2020-02-26,09,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,小川町,2020-05-24,09,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,小川町,2020-06-05,05,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
