罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,二葉町２丁目,2020/3/15,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2020/8/5,15,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2020/8/15,8,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2020/11/17,10,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町３丁目,2020/6/12,1,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町３丁目,2020/9/9,19,４階建て以上共同住宅,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,南吉田町１丁目,2020/11/21,18,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,吉野町３丁目,2020/5/30,14,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,久保山,141054,神奈川県,横浜市南区,庚台,2020/9/22,10,一戸建住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2019/12/28,13,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/4/16,17,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/7/12,7,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/8/22,21,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/11/25,0,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/12/11,20,４階建て以上共同住宅,その他,10歳代,小学生,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020/12/14,1,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2019/11/8,14,その他,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2020/2/24,22,一戸建住宅,その他,65-69歳,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2020/3/9,16,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2020/3/28,17,一戸建住宅,その他,10歳代,小学生,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2020/8/2,16,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2020/7/1,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020/1/17,15,４階建て以上共同住宅,その他,40歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020/3/1,9,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020/3/26,17,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020/9/11,8,道路上,その他,10歳代,中学生,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2020/2/29,18,その他,その他,10歳代,高校生,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2020/6/14,21,一戸建住宅,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020/6/27,17,道路上,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2020/10/4,12,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020/6/1,17,４階建て以上共同住宅,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2020/11/17,7,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2020/11/20,21,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019/8/27,8,その他,その他,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2020/4/16,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宿町２丁目,2020/3/25,16,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,通町２丁目,2020/11/11,20,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,通町４丁目,2020/10/14,6,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町４丁目,2019/12/27,7,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,若宮町２丁目,2020/12/15,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町４丁目,2020/1/30,14,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町４丁目,2020/5/6,7,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2020/9/5,19,４階建て以上共同住宅,その他,60-64歳,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2020/7/5,22,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2020/9/10,15,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,白妙町４丁目,2020/8/23,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,白妙町４丁目,2020/11/10,19,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2020/6/5,17,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,2020/4/22,16,道路上,その他,65-69歳,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,2020/8/2,18,４階建て以上共同住宅,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町２丁目,2020/2/10,13,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,万世町１丁目,2020/4/30,15,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,万世町１丁目,2020/7/2,12,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,万世町２丁目,2020/3/12,0,道路上,その他,70歳以上,その他,施錠した
窃盗,自転車盗,大和,,142051,神奈川県,藤沢市,長後,2019/11/11,13,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,草柳３丁目,2020/1/9,7,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2020/1/9,6,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2020/4/22,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2020/7/21,10,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2020/8/14,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2019/12/30,3,その他,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2020/2/11,21,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2020/3/7,23,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2020/6/20,16,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2020/9/10,0,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2020/4/5,12,一戸建住宅,その他,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央７丁目,2020/8/30,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2020/2/23,21,４階建て以上共同住宅,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2020/3/9,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2020/7/28,18,一戸建住宅,その他,70歳以上,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2020/1/29,15,その他,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2020/2/29,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2020/3/28,22,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2020/3/6,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2020/3/23,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2020/8/10,17,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2020/10/1,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2020/2/29,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2020/8/14,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2020/10/15,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2020/4/1,18,一戸建住宅,その他,70歳以上,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳９丁目,2020/6/1,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2020/2/15,8,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2020/1/15,17,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2020/2/10,16,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2020/7/31,16,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2020/3/31,20,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2020/10/4,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020/7/30,19,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020/10/26,18,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020/11/27,17,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2019/12/31,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2020/5/1,9,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2020/7/15,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,中央林間３丁目,2020/7/11,10,一戸建住宅,その他,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2020/2/18,14,４階建て以上共同住宅,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2020/6/6,8,駐車（輪）場,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2020/6/6,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間３丁目,2020/2/10,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間５丁目,2020/3/3,17,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2020/3/15,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2020/10/1,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間２丁目,2020/11/3,17,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2020/3/29,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2020/10/18,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野１丁目,2019/12/30,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2020/8/6,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2020/11/17,17,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野３丁目,2020/5/18,19,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2020/9/6,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2020/12/12,14,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,,2020/4/14,12,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2020/2/2,14,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間２丁目,2020/7/22,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間２丁目,2020/9/11,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2020/1/17,6,駐車（輪）場,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2020/9/28,19,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2020/11/14,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2020/3/3,16,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2020/2/26,11,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間西１丁目,2019/5/4,18,その他,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間西５丁目,2020/3/29,14,一戸建住宅,その他,10歳代,中学生,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020/1/1,18,一戸建住宅,その他,70歳以上,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020/4/17,14,一戸建住宅,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020/6/24,19,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020/10/4,18,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020/10/26,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田８丁目,2020/2/20,16,一戸建住宅,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋２丁目,2020/10/27,12,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,下和田,2020/2/25,7,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,下和田,2020/3/11,8,一戸建住宅,その他,10歳代,小学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,下和田,2020/11/6,19,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,福田,2020/12/7,7,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,,2020/6/11,13,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷５丁目,2020/12/5,6,その他,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2019/12/30,15,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2020/2/2,15,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2020/6/2,12,その他,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,大上３丁目,2020/3/19,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中１丁目,2020/3/18,9,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中１丁目,2020/3/19,12,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中２丁目,2020/1/3,17,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾西３丁目,2020/7/9,20,一戸建住宅,その他,60-64歳,その他,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台２丁目,2020/9/18,9,その他,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町２丁目,2020/3/9,20,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷,2020/1/17,13,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,落合北５丁目,2020/3/10,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中１丁目,2020/2/21,16,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中１丁目,2020/3/19,14,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中１丁目,2020/8/28,16,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中４丁目,2020/2/21,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
