罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,矢部町,2018-03-26,23,道路上,女性,10歳代,あり
窃盗,ひったくり,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,上矢部町,2018-03-17,00,道路上,女性,10歳代,なし
窃盗,ひったくり,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2016-11-16,23,道路上,女性,20歳代,なし
窃盗,ひったくり,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2018-05-22,12,道路上,女性,70歳以上,なし
窃盗,ひったくり,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰本町３丁目,2018-12-18,19,道路上,女性,60-64歳,あり
窃盗,ひったくり,旭,希望が丘,141127,神奈川県,横浜市旭区,中希望が丘,2018-06-03,15,道路上,女性,20歳代,なし
窃盗,ひったくり,旭,希望が丘,141127,神奈川県,横浜市旭区,中希望が丘,2018-11-02,22,道路上,女性,65-69歳,あり
窃盗,ひったくり,旭,笹野台,141127,神奈川県,横浜市旭区,笹野台３丁目,2018-12-08,21,道路上,女性,50歳代,なし
窃盗,ひったくり,加賀町,尾上町,141046,神奈川県,横浜市中区,住吉町６丁目,2018-01-28,02,道路上,女性,30歳代,あり
窃盗,ひったくり,加賀町,尾上町,141046,神奈川県,横浜市中区,真砂町３丁目,2018-12-25,14,道路上,女性,40歳代,あり
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,本牧町１丁目,2018-06-12,16,道路上,女性,40歳代,あり
窃盗,ひったくり,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀２丁目,2018-09-30,21,その他,男性,50歳代,あり
窃盗,ひったくり,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,釜利谷東３丁目,2018-10-24,19,道路上,男性,60-64歳,なし
窃盗,ひったくり,金沢,能見台駅前,141089,神奈川県,横浜市金沢区,長浜,2018-10-15,18,道路上,男性,40歳代,なし
窃盗,ひったくり,金沢,幸浦,141089,神奈川県,横浜市金沢区,幸浦２丁目,2018-10-24,19,道路上,男性,20歳代,あり
窃盗,ひったくり,伊勢佐木,寿町,141046,神奈川県,横浜市中区,石川町４丁目,2018-10-15,01,道路上,女性,50歳代,あり
窃盗,ひったくり,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町２丁目,2018-03-19,15,道路上,女性,60-64歳,なし
窃盗,ひったくり,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,羽衣町１丁目,2018-01-30,05,道路上,女性,30歳代,あり
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,桜木町６丁目,2018-09-03,00,道路上,男性,30歳代,なし
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,戸部町５丁目,2018-12-28,01,道路上,女性,20歳代,なし
窃盗,ひったくり,神奈川,大口駅前,141020,神奈川県,横浜市神奈川区,大口通,2018-10-07,20,道路上,女性,40歳代,あり
窃盗,ひったくり,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋３丁目,2018-02-14,20,道路上,女性,30歳代,あり
窃盗,ひったくり,鶴見,本町通,141011,神奈川県,横浜市鶴見区,仲通１丁目,2018-03-30,12,道路上,男性,70歳以上,あり
窃盗,ひったくり,鶴見,生麦,141011,神奈川県,横浜市鶴見区,生麦５丁目,2018-11-06,08,道路上,女性,70歳以上,あり
窃盗,ひったくり,鶴見,市場,141011,神奈川県,横浜市鶴見区,市場大和町,2018-04-22,01,その他,男性,50歳代,あり
窃盗,ひったくり,鶴見,市場,141011,神奈川県,横浜市鶴見区,菅沢町,2018-09-08,21,道路上,男性,20歳代,なし
窃盗,ひったくり,鶴見,尻手,141011,神奈川県,横浜市鶴見区,尻手１丁目,2018-09-17,02,道路上,男性,65-69歳,なし
窃盗,ひったくり,鶴見,尻手,141011,神奈川県,横浜市鶴見区,尻手３丁目,2018-09-15,23,道路上,女性,30歳代,なし
窃盗,ひったくり,鶴見,尻手,141011,神奈川県,横浜市鶴見区,元宮２丁目,2018-09-12,22,道路上,女性,65-69歳,あり
窃盗,ひったくり,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,上末吉３丁目,2018-01-29,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,鶴見,三角,141011,神奈川県,横浜市鶴見区,豊岡町,2018-09-03,19,道路上,女性,30歳代,あり
窃盗,ひったくり,鶴見,北寺尾,141011,神奈川県,横浜市鶴見区,北寺尾７丁目,2018-09-16,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,川辺町,2018-09-29,23,道路上,男性,70歳以上,あり
窃盗,ひったくり,保土ケ谷,和田町,141062,神奈川県,横浜市保土ケ谷区,和田２丁目,2018-01-04,00,道路上,女性,40歳代,あり
窃盗,ひったくり,保土ケ谷,星川,141062,神奈川県,横浜市保土ケ谷区,星川２丁目,2018-09-20,05,道路上,男性,65-69歳,なし
窃盗,ひったくり,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,新井町,2018-10-27,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,港南,上大岡駅前,141119,神奈川県,横浜市港南区,大久保１丁目,2018-10-11,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,港南,日野,141119,神奈川県,横浜市港南区,日野４丁目,2018-01-29,13,道路上,女性,10歳代,あり
窃盗,ひったくり,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2018-09-09,23,道路上,女性,10歳代,あり
窃盗,ひったくり,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2018-09-13,23,道路上,男性,50歳代,あり
窃盗,ひったくり,緑,北八朔町,141135,神奈川県,横浜市緑区,北八朔町,2018-09-10,00,道路上,女性,20歳代,なし
窃盗,ひったくり,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2018-03-03,19,道路上,男性,70歳以上,あり
窃盗,ひったくり,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2018-03-04,13,道路上,女性,40歳代,あり
窃盗,ひったくり,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2018-03-19,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,樽町,141097,神奈川県,横浜市港北区,大曽根台,2018-03-19,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,日吉本町,141097,神奈川県,横浜市港北区,箕輪町３丁目,2018-05-27,20,道路上,女性,50歳代,あり
窃盗,ひったくり,港北,日吉駅前,141097,神奈川県,横浜市港北区,日吉４丁目,2018-06-17,11,道路上,女性,65-69歳,あり
窃盗,ひったくり,港北,日吉駅前,141097,神奈川県,横浜市港北区,日吉本町１丁目,2018-03-20,15,道路上,男性,20歳代,あり
窃盗,ひったくり,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2018-02-20,10,その他,女性,40歳代,あり
窃盗,ひったくり,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜１丁目,2017-12-11,20,道路上,女性,40歳代,なし
窃盗,ひったくり,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜１丁目,2018-01-19,22,道路上,女性,30歳代,なし
窃盗,ひったくり,港北,仲手原,141097,神奈川県,横浜市港北区,篠原台町,2018-02-08,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島台,2018-08-10,15,道路上,女性,40歳代,あり
窃盗,ひったくり,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東６丁目,2018-08-19,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,中央,2018-08-31,09,道路上,男性,70歳以上,あり
窃盗,ひったくり,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,三ツ境,2018-03-22,00,道路上,女性,20歳代,なし
窃盗,ひったくり,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,本郷４丁目,2018-12-18,20,道路上,女性,20歳代,なし
窃盗,ひったくり,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷１丁目,2018-03-30,20,道路上,女性,70歳以上,なし
窃盗,ひったくり,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷２丁目,2018-02-20,22,その他,女性,60-64歳,あり
窃盗,ひったくり,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷２丁目,2018-10-25,23,道路上,女性,30歳代,あり
窃盗,ひったくり,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷４丁目,2018-03-28,22,道路上,女性,20歳代,なし
窃盗,ひったくり,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,松風台,2018-04-13,16,道路上,女性,40歳代,あり
窃盗,ひったくり,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘５丁目,2018-01-10,13,道路上,女性,65-69歳,あり
窃盗,ひったくり,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘５丁目,2018-09-21,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,梅が丘,2018-07-23,17,その他,女性,70歳以上,あり
窃盗,ひったくり,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,藤が丘１丁目,2018-03-13,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,藤が丘１丁目,2018-11-05,03,道路上,男性,60-64歳,なし
窃盗,ひったくり,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野南３丁目,2018-09-21,13,道路上,女性,40歳代,なし
窃盗,ひったくり,青葉,田奈駅前,141178,神奈川県,横浜市青葉区,恩田町,2018-05-27,21,道路上,女性,20歳代,あり
窃盗,ひったくり,都筑,荏田東,141186,神奈川県,横浜市都筑区,荏田南４丁目,2018-09-21,13,道路上,女性,60-64歳,あり
窃盗,ひったくり,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,中川中央１丁目,2018-09-28,11,道路上,女性,20歳代,あり
窃盗,ひったくり,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,中川中央１丁目,2018-09-28,11,道路上,女性,50歳代,あり
窃盗,ひったくり,麻生,百合丘,141372,神奈川県,川崎市麻生区,高石４丁目,2018-03-24,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,麻生,百合丘,141372,神奈川県,川崎市麻生区,高石６丁目,2018-01-09,13,道路上,女性,50歳代,あり
窃盗,ひったくり,川崎,小田,141313,神奈川県,川崎市川崎区,小田３丁目,2018-07-30,20,道路上,女性,65-69歳,あり
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2018-04-26,03,道路上,女性,20歳代,あり
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2018-04-11,18,道路上,女性,40歳代,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2018-04-24,01,道路上,男性,50歳代,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,駅前本町,2018-04-29,02,道路上,男性,20歳代,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,日進町,2018-05-12,00,道路上,男性,40歳代,なし
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,小川町,2018-06-21,00,道路上,男性,50歳代,あり
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,堤根,2018-09-17,01,道路上,男性,20歳代,あり
窃盗,ひったくり,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,鋼管通４丁目,2018-12-03,17,道路上,女性,10歳代,なし
窃盗,ひったくり,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,桜本２丁目,2018-06-15,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,昭和２丁目,2017-12-31,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町１丁目,2018-08-19,20,道路上,女性,40歳代,あり
窃盗,ひったくり,中原,井田,141330,神奈川県,川崎市中原区,井田２丁目,2018-04-10,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,井田,141330,神奈川県,川崎市中原区,井田中ノ町,2018-08-13,11,道路上,女性,50歳代,なし
窃盗,ひったくり,中原,井田,141330,神奈川県,川崎市中原区,井田中ノ町,2018-12-24,21,道路上,女性,20歳代,あり
窃盗,ひったくり,中原,木月三丁目,141330,神奈川県,川崎市中原区,木月３丁目,2018-05-23,06,道路上,男性,30歳代,あり
窃盗,ひったくり,中原,木月三丁目,141330,神奈川県,川崎市中原区,木月４丁目,2018-08-10,15,道路上,女性,60-64歳,あり
窃盗,ひったくり,高津,北見方,141348,神奈川県,川崎市高津区,北見方１丁目,2018-07-27,19,道路上,女性,65-69歳,あり
窃盗,ひったくり,高津,末長,141348,神奈川県,川崎市高津区,梶ケ谷１丁目,2018-09-11,09,道路上,女性,40歳代,あり
窃盗,ひったくり,多摩,中野島,141356,神奈川県,川崎市多摩区,中野島１丁目,2018-01-20,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅５丁目,2018-01-12,23,道路上,女性,20歳代,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅北浦２丁目,2018-11-23,19,道路上,女性,20歳代,あり
窃盗,ひったくり,多摩,生田,141356,神奈川県,川崎市多摩区,三田１丁目,2018-04-17,09,道路上,女性,30歳代,あり
窃盗,ひったくり,多摩,読売ランド駅前,141356,神奈川県,川崎市多摩区,生田６丁目,2018-12-17,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,読売ランド駅前,141356,神奈川県,川崎市多摩区,西生田３丁目,2018-03-07,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,幸,幸町,141321,神奈川県,川崎市幸区,幸町３丁目,2018-07-31,07,道路上,男性,50歳代,なし
窃盗,ひったくり,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,鷺沼１丁目,2018-10-01,10,その他,女性,70歳以上,あり
窃盗,ひったくり,宮前,蔵敷,141364,神奈川県,川崎市宮前区,初山２丁目,2018-05-18,22,道路上,女性,10歳代,なし
窃盗,ひったくり,田浦,夏島町,142018,神奈川県,横須賀市,夏島町,2018-10-16,03,道路上,男性,20歳代,あり
窃盗,ひったくり,浦賀,浦賀港,142018,神奈川県,横須賀市,浦上台２丁目,2018-06-30,23,道路上,男性,30歳代,あり
窃盗,ひったくり,浦賀,北久里浜駅前,142018,神奈川県,横須賀市,根岸町４丁目,2018-05-05,21,道路上,女性,10歳代,あり
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,下土棚,2018-12-04,16,道路上,女性,70歳以上,なし
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,長後,2018-10-07,18,道路上,女性,65-69歳,あり
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,長後,2018-12-14,11,道路上,女性,20歳代,あり
窃盗,ひったくり,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野２丁目,2018-12-05,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,石川,142051,神奈川県,藤沢市,石川４丁目,2018-12-07,22,道路上,女性,30歳代,あり
窃盗,ひったくり,藤沢北,湘南台駅東口,142051,神奈川県,藤沢市,湘南台５丁目,2018-12-26,16,道路上,男性,70歳以上,あり
窃盗,ひったくり,藤沢北,湘南台駅東口,142051,神奈川県,藤沢市,湘南台７丁目,2018-12-08,20,道路上,女性,70歳以上,なし
窃盗,ひったくり,逗子,久木,142085,神奈川県,逗子市,久木３丁目,2018-05-09,23,道路上,女性,50歳代,あり
窃盗,ひったくり,鎌倉,鎌倉駅前,142042,神奈川県,鎌倉市,二階堂,2018-03-09,19,道路上,女性,20歳代,あり
窃盗,ひったくり,鎌倉,鎌倉駅前,142042,神奈川県,鎌倉市,雪ノ下３丁目,2018-04-25,21,道路上,女性,50歳代,なし
窃盗,ひったくり,鎌倉,名越,142042,神奈川県,鎌倉市,,2018-04-23,23,道路上,女性,30歳代,なし
窃盗,ひったくり,鎌倉,名越,142042,神奈川県,鎌倉市,大町５丁目,2018-04-23,23,道路上,女性,20歳代,あり
窃盗,ひったくり,鎌倉,深沢,142042,神奈川県,鎌倉市,手広４丁目,2018-04-25,22,道路上,女性,30歳代,なし
窃盗,ひったくり,鎌倉,御成,142042,神奈川県,鎌倉市,笹目町,2018-12-03,22,道路上,男性,10歳代,あり
窃盗,ひったくり,大船,玉縄,142042,神奈川県,鎌倉市,植木,2018-12-07,20,道路上,女性,40歳代,あり
窃盗,ひったくり,大船,玉縄,142042,神奈川県,鎌倉市,岡本,2018-03-30,23,道路上,女性,40歳代,あり
窃盗,ひったくり,大船,玉縄,142042,神奈川県,鎌倉市,岡本２丁目,2018-11-25,19,道路上,女性,20歳代,なし
窃盗,ひったくり,大船,玉縄,142042,神奈川県,鎌倉市,玉縄１丁目,2018-12-26,13,道路上,女性,50歳代,あり
窃盗,ひったくり,大船,台,142042,神奈川県,鎌倉市,小袋谷２丁目,2018-10-24,21,道路上,男性,50歳代,あり
窃盗,ひったくり,藤沢,本町白旗,142051,神奈川県,藤沢市,鵠沼神明１丁目,2018-04-28,00,道路上,女性,50歳代,あり
窃盗,ひったくり,藤沢,羽鳥,142051,神奈川県,藤沢市,城南４丁目,2018-08-14,20,道路上,女性,40歳代,あり
窃盗,ひったくり,藤沢,辻堂駅前,142051,神奈川県,藤沢市,辻堂元町２丁目,2018-05-01,00,道路上,女性,20歳代,あり
窃盗,ひったくり,藤沢,辻堂駅前,142051,神奈川県,藤沢市,辻堂元町２丁目,2018-12-03,18,道路上,女性,30歳代,なし
窃盗,ひったくり,藤沢,辻堂駅前,142051,神奈川県,藤沢市,辻堂元町５丁目,2018-04-27,23,道路上,女性,30歳代,あり
窃盗,ひったくり,茅ケ崎,茅ケ崎駅南口,142077,神奈川県,茅ヶ崎市,幸町,2018-05-20,21,道路上,女性,20歳代,あり
窃盗,ひったくり,茅ケ崎,今宿,142077,神奈川県,茅ヶ崎市,萩園,2018-09-29,02,その他,女性,10歳代,なし
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,柳島海岸,2018-10-03,21,道路上,女性,50歳代,あり
窃盗,ひったくり,茅ケ崎,小和田,142077,神奈川県,茅ヶ崎市,菱沼２丁目,2018-11-24,14,道路上,女性,50歳代,なし
窃盗,ひったくり,茅ケ崎,小和田,142077,神奈川県,茅ヶ崎市,菱沼３丁目,2018-12-08,23,道路上,男性,65-69歳,なし
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,香川２丁目,2018-09-22,17,道路上,女性,30歳代,あり
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,高田２丁目,2018-12-10,12,道路上,女性,40歳代,あり
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,みずき３丁目,2018-11-19,11,道路上,女性,60-64歳,なし
窃盗,ひったくり,茅ケ崎,宮山,143219,神奈川県,寒川町,宮山,2018-11-19,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,寒川駅前,143219,神奈川県,寒川町,岡田,2018-11-24,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,平塚,平塚駅前,142034,神奈川県,平塚市,宝町,2018-01-06,05,その他,女性,40歳代,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,平塚１丁目,2018-12-04,17,道路上,女性,20歳代,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,平塚１丁目,2018-12-05,15,道路上,男性,60-64歳,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,平塚１丁目,2018-12-07,21,道路上,女性,20歳代,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,平塚３丁目,2018-12-08,17,道路上,女性,30歳代,あり
窃盗,ひったくり,平塚,八幡,142034,神奈川県,平塚市,西八幡１丁目,2018-01-11,23,道路上,女性,30歳代,あり
窃盗,ひったくり,平塚,八幡,142034,神奈川県,平塚市,東真土１丁目,2018-01-11,22,道路上,女性,10歳代,なし
窃盗,ひったくり,平塚,旭,142034,神奈川県,平塚市,万田,2018-07-16,19,道路上,男性,30歳代,なし
窃盗,ひったくり,平塚,神田,142034,神奈川県,平塚市,大神,2018-09-06,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,大磯,小磯,143413,神奈川県,大磯町,東小磯,2018-12-01,00,道路上,女性,20歳代,なし
窃盗,ひったくり,小田原,早川駅前,142069,神奈川県,小田原市,板橋,2018-11-12,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,松田,狩野,142174,神奈川県,南足柄市,狩野,2018-11-14,19,道路上,男性,40歳代,あり
窃盗,ひったくり,秦野,秦野駅前,142115,神奈川県,秦野市,入船町,2018-09-12,15,その他,女性,70歳以上,あり
窃盗,ひったくり,秦野,秦野駅前,142115,神奈川県,秦野市,今泉台３丁目,2018-10-10,17,その他,女性,20歳代,あり
窃盗,ひったくり,秦野,渋沢,142115,神奈川県,秦野市,曲松２丁目,2018-06-25,19,道路上,男性,70歳以上,あり
窃盗,ひったくり,厚木,緑ケ丘,142123,神奈川県,厚木市,戸室３丁目,2018-08-05,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原,淵野辺駅北口,141526,神奈川県,相模原市中央区,淵野辺２丁目,2018-04-27,23,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,東淵野辺４丁目,2018-12-09,01,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2018-02-11,20,道路上,男性,30歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部２丁目,2018-01-16,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部２丁目,2018-04-29,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部３丁目,2018-02-04,19,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部３丁目,2018-07-22,22,道路上,男性,60-64歳,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原８丁目,2018-04-21,22,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,横山,141526,神奈川県,相模原市中央区,中央４丁目,2018-09-05,19,道路上,女性,50歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,並木３丁目,2018-11-02,21,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,並木４丁目,2018-09-28,20,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,富士見２丁目,2018-01-15,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新７丁目,2018-05-20,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台２丁目,2018-09-01,00,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台５丁目,2018-02-20,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台６丁目,2018-01-30,12,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台８丁目,2018-09-05,21,道路上,女性,10歳代,あり
窃盗,ひったくり,相模原南,大野,141534,神奈川県,相模原市南区,西大沼１丁目,2018-07-16,21,道路上,女性,30歳代,なし
窃盗,ひったくり,相模原南,南大野,141534,神奈川県,相模原市南区,南台５丁目,2018-09-05,21,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原南,南大野,141534,神奈川県,相模原市南区,南台５丁目,2018-09-05,21,道路上,女性,50歳代,なし
